four_digit,tri1Tutoring,tri2Tutoring,tri3Tutoring,tri1Events,tri2Events,tri3Events
4617,0.0,0.0,0.0,10.0,0.0,0.0
4638,0.0,0.0,0.0,3.0,0.0,0.0
4639,1.0,0.0,0.0,33.0,0.0,0.0
4642,0.0,0.0,0.0,1.0,0.0,0.0
4643,0.0,0.0,0.0,10.5,0.0,0.0
4676,0.0,0.0,0.0,0.0,0.0,0.0
4682,0.0,0.0,0.0,24.0,0.0,0.0
4689,0.0,0.0,0.0,2.0,0.0,0.0
4696,0.0,0.0,0.0,17.0,0.0,0.0
4717,0.0,0.0,0.0,0.0,0.0,0.0
4719,0.0,0.0,0.0,11.25,0.0,0.0
4722,0.0,0.0,0.0,8.0,0.0,0.0
4727,0.0,0.0,0.0,19.0,0.0,0.0
4734,0.0,0.0,0.0,8.0,0.0,0.0
4746,0.0,0.0,0.0,0.0,0.0,0.0
4761,0.0,0.0,0.0,10.0,0.0,0.0
4764,0.0,0.0,0.0,3.0,0.0,0.0
4769,0.0,0.0,0.0,0.0,0.0,0.0
4776,0.0,0.0,0.0,16.0,0.0,0.0
4786,0.0,0.0,0.0,3.0,0.0,0.0
4799,0.0,0.0,0.0,14.5,0.0,0.0
4803,0.0,0.0,0.0,20.0,0.0,0.0
4846,0.0,0.0,0.0,49.5,0.0,0.0
4853,0.0,0.0,0.0,20.0,0.0,0.0
4862,0.0,0.0,0.0,1.0,0.0,0.0
4867,0.0,0.0,0.0,8.5,0.0,0.0
4870,0.0,0.0,0.0,1.0,0.0,0.0
4876,0.0,0.0,0.0,7.0,0.0,0.0
4877,0.0,0.0,0.0,9.0,0.0,0.0
4879,2.0,0.0,0.0,110.5,0.0,0.0
4883,0.5,0.0,0.0,2.0,0.0,0.0
4884,0.5,0.0,0.0,28.0,0.0,0.0
4890,0.0,0.0,0.0,1.0,0.0,0.0
4900,0.0,0.0,0.0,1.0,0.0,0.0
4909,0.0,0.0,0.0,18.5,0.0,0.0
4924,0.0,0.0,0.0,1.0,0.0,0.0
4935,0.0,0.0,0.0,15.5,0.0,0.0
4953,0.0,0.0,0.0,22.0,0.0,0.0
4957,0.0,0.0,0.0,7.0,0.0,0.0
4965,0.0,0.0,0.0,4.0,0.0,0.0
4972,1.0,0.0,0.0,21.0,0.0,0.0
4973,0.0,0.0,0.0,16.5,0.0,0.0
4989,0.0,0.0,0.0,19.5,0.0,0.0
4997,0.0,0.0,0.0,6.0,0.0,0.0
3408,0.0,0.0,0.0,66.5,0.0,0.0
3451,0.0,0.0,0.0,10.0,0.0,0.0
3510,0.0,0.0,0.0,31.0,0.0,0.0
3989,0.0,0.0,0.0,0.0,0.0,0.0
9999,0.0,0.0,0.0,0.0,0.0,0.0
